DateTime,AddedIPs,RemovedIPs
1479117008,40,0
1479117307,3,0
1479117908,4,0
1479118209,5,0
1479122712,0,1
1479123307,1,0
1479124207,5,0
1479127807,4,0
1479130808,0,1
1479132608,1,0
1479134408,160,0
1479134708,2,0
1479135607,124,0
1479135908,56,0
1479142807,0,1
1479149107,0,1
1479152408,0,1
1479153308,5,0
1479190207,0,1
1479193207,0,1
1479193810,0,1
1479200707,29,0
1479201008,50,0
1479201307,85,0
1479202207,32,0
1479205207,0,1
1479213607,0,1
1479216308,0,1
1479220507,1,0
1479223807,0,1
1479225308,0,1
1479227410,3,0
1479228308,40,0
1479228608,207,1
1479228908,6,0
1479229207,15,0
1479229509,52,0
1479229808,2,0
1479230407,15,0
1479243608,2,0
1479245408,0,1
1479287407,0,1
1479291908,3,0
1479292507,11,0
1479293108,27,0
1479293707,153,3
1479294007,39,0
1479294308,45,0
1479294607,31,0
1479294908,64,0
1479307508,0,1
1479313208,16,0
1479322808,1,0
1479342907,0,1
1479343508,0,1
1479353707,1,0
1479354907,0,1
1479366008,1,0
1479369909,0,1
1479373208,1,0
1479374107,7,0
1479374407,6,0
1479380107,1,0
1479380707,46,0
1479381009,152,3
1479381608,1,0
1479381911,0,1
1479382807,27,0
1479383108,62,0
1479383711,52,0
1479394808,1,0
1479402907,0,1
1479408907,0,1
1479427808,0,1
1479433508,0,1
1479441607,1,0
1479444307,0,1
1479455107,0,1
1479458708,0,1
1479460808,50,0
1479461108,1,0
1479461707,6,0
1479462308,3,0
1479462908,268,0
1479463209,52,0
1479463507,10,0
1479464709,0,2
1479465008,0,2
1479466807,2,0
1479469208,0,1
1479470408,2,1
1479471608,0,2
1479474308,33,0
1479474907,15,0
1479477007,11,0
1479477308,1,0
1479478208,173,6
1479478508,69,0
1479480907,1,0
1479481207,2,0
1479481809,116,0
1479487208,1,0
1479491407,0,1
1479496807,0,1
1479514508,1,0
1479538807,1,0
1479547808,0,1
1479556810,1,0
1479558309,0,1
1479560108,0,1
1479580208,0,1
1479582008,1,2
1479587408,0,3
1479588607,0,1
1479589808,0,1
1479592808,0,1
1479603608,1,0
1479636906,0,1
1479637808,0,1
1479638108,0,1
1479639607,1,0
1479647707,0,1
1479649807,0,1
1479664808,1,0
1479672008,0,1
1479705308,0,1
1479708008,1,0
1479709521,0,1
1479712808,0,1
1479718207,0,2
1479719109,1,0
1479719408,149,0
1479719707,7,0
1479720607,140,0
1479720907,206,0
1479721208,130,0
1479721509,61,0
1479721808,2,0
1479722107,0,1
1479722707,0,1
1479736807,1,0
1479744008,1,0
1479744307,0,1
1479749408,0,1
1479751207,1,0
1479755707,0,1
1479760208,0,1
1479769208,1,0
1479770707,0,1
1479780008,0,2
1479797407,0,1
1479813008,0,1
1479814207,0,1
1479816008,117,0
1479816307,152,0
1479816607,101,0
1479817207,206,0
1479817508,10,0
1479855608,1,0
1479869707,0,1
1479871808,0,1
1479888907,0,1
1479896108,55,0
1479896408,58,0
1479896708,82,6
1479897008,140,0
1479897308,45,0
1479897607,1,0
1479898507,14,0
1479898807,2,0
1479904807,0,1
1479908708,0,1
1479932408,0,1
1479934808,1,0
1479937508,0,1
1479947707,0,1
1479951307,0,1
1479970807,0,1
1479988507,14,0
1479988807,134,0
1479989107,147,0
1479989408,2,0
1479990008,6,0
1479990308,6,0
1479990608,1,1
1479990908,143,0
1479991209,39,3
1479991508,6,0
1479994207,0,1
1480011307,0,1
1480014008,0,1
1480035608,2,0
1480052107,0,1
1480062607,7,0
1480062907,2,0
1480063207,1,0
1480063509,1,0
1480066209,0,6
1480066507,0,5
1480069508,416,0
1480069807,24,0
1480070107,11,0
1480070407,5,0
1480072214,59,0
